run,type,module,name,attrname,attrvalue,vectime,vecvalue
bothTestSameTim-3500-20221223-13:43:48-15012,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044539247442 0.08900227937 0.132794295334 0.177185327262 0.22115335919 0.265598391118 0.309548423046 0.35329543901 0.397794470938 0.441613486902 0.48612151883 0.530017550758 0.573854566722 0.61826359865 0.662082614614 0.706509646542 0.75044167847 0.794832710398 0.838764742326 0.88258375829 0.926956790218 0.970757806182 1","35923373.022491 35984950.432326 36536340.352892 36043316.194927 36390075.467105 35999524.14461 36404979.241452 36573923.152077 35955838.378435 36513827.725262 35948567.723423 36449763.901766 36498834.713429 36028707.011539 36513827.725262 36014109.666228 36419895.228662 36043316.194927 36419895.228662 36513827.725262 36057937.230798 36528833.059832 35565047.084799"
bothTestSameTim-3501-20221223-13:43:48-7276,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044320151658 0.088216183586 0.132607215514 0.176611247442 0.220844263406 0.264848295334 0.309212327262 0.353076343226 0.397017375154 0.441313391118 0.485254423046 0.529618454974 0.573410470938 0.617468502866 0.661904534794 0.705908566722 0.750159582686 0.794046614614 0.838428646542 0.882274662506 0.926215694434 0.970529710398 1","36100959.499113 36449763.901766 36043316.194927 36360304.49705 36172075.657292 36360304.49705 36065252.197922 36476368.267629 36412435.707511 36120629.929796 36412435.707511 36065252.197922 36536340.352892 36315739.264403 36006815.428355 36360304.49705 36157361.930439 36457238.726577 36050625.230401 36491342.823797 36412435.707511 36105958.017883 35832698.431587"
bothTestSameTim-3510-20221223-13:43:54-15284,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.045280343226 0.089167375154 0.133391391118 0.177368423046 0.221363454974 0.265650470938 0.30964151883 0.353946534794 0.397905566722 0.442129582686 0.486106614614 0.530128646542 0.574433662506 0.618437694434 0.662787710398 0.706701742326 0.750633774254 0.794893790218 0.83902883811 0.883261854074 0.927040886002 0.971228901966 1","35335421.200634 36457238.726577 36179437.012289 36382628.155069 36367742.671911 36127970.358188 36371036.30557 36113292.483634 36397525.828608 36179437.012289 36382628.155069 36345437.27143 36113292.483634 36360304.49705 36076649.922714 36434823.443753 36419895.228662 36150009.554931 36252368.04807 36172075.657292 36547176.343036 36208912.418777 36147386.476908"
bothTestSameTim-3511-20221223-13:43:54-4184,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044347151658 0.088324183586 0.132760215514 0.176764247442 0.220997263406 0.264884295334 0.309311327262 0.353193343226 0.397170375154 0.441484391118 0.485461423046 0.529744454974 0.573536470938 0.617441502866 0.661877534794 0.705809566722 0.750006582686 0.793902614614 0.838392646542 0.882193662506 0.926134694434 0.970385710398 1","36078980.051278 36382628.155069 36006815.428355 36360304.49705 36172075.657292 36457238.726577 36014109.666228 36461405.996311 36382628.155069 36105958.017883 36382628.155069 36131220.703258 36536340.352892 36442292.141453 36006815.428355 36419895.228662 36201539.065516 36449763.901766 35963111.975045 36528833.059832 36412435.707511 36157361.930439 35658461.310133"
bothTestSameTim-3512-20221223-13:43:55-11344,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044179103766 0.088278151658 0.132574167622 0.17646119955 0.220766215514 0.264698247442 0.30853127937 0.352836295334 0.396822327262 0.441154343226 0.485059375154 0.529027407082 0.573296423046 0.617386470938 0.661664486902 0.70557851883 0.749847534794 0.793779566722 0.83777459865 0.882070614614 0.926020646542 0.970289662506 1","36216216.799566 36281962.456842 36120629.929796 36457238.726577 36113292.483634 36419895.228662 36502152.135589 36113292.483634 36375183.890627 36091298.020358 36442292.141453 36390075.467105 36142660.168935 36289368.610332 36135313.770628 36434823.443753 36142660.168935 36419895.228662 36367742.671911 36120629.929796 36404979.241452 36142660.168935 36081717.355668"
bothTestSameTim-3513-20221223-13:43:55-10816,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044239151658 0.088162183586 0.132589215514 0.176530247442 0.220826263406 0.264839295334 0.309176327262 0.353004343226 0.396963375154 0.441340391118 0.485290423046 0.529717454974 0.573491470938 0.617405502866 0.661868534794 0.705881566722 0.750051582686 0.793902614614 0.838293646542 0.882112662506 0.926053694434 0.970331710398 1","36167058.816343 36427357.806783 36014109.666228 36412435.707511 36120629.929796 36352869.364178 36087214.91773 36506329.679952 36397525.828608 36054700.056849 36404979.241452 36014109.666228 36551364.200074 36434823.443753 35984950.432326 36352869.364178 36223668.139583 36487168.708528 36043316.194927 36513827.725262 36412435.707511 36135313.770628 35593558.447967"
bothTestSameTim-3514-20221223-13:43:55-4884,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044242103766 0.088368151658 0.132610167622 0.17665019955 0.220910215514 0.264869247442 0.30880127937 0.353133295334 0.397191327262 0.441460343226 0.485464375154 0.529396407082 0.573746423046 0.617809470938 0.662114486902 0.70606451883 0.750234534794 0.794283566722 0.83826959865 0.882574614614 0.926551646542 0.970811662506 1","36164645.525505 36259762.123181 36164717.297284 36330582.198846 36150009.554931 36397525.828608 36419895.228662 36091298.020358 36315739.264403 36142660.168935 36360304.49705 36419895.228662 36076649.922714 36311605.223535 36113292.483634 36404979.241452 36223668.139583 36323159.215287 36375183.890627 36113292.483634 36382628.155069 36150009.554931 36178833.419926"
bothTestSameTim-3515-20221223-13:43:55-7856,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044629247442 0.08897527937 0.132821295334 0.177185327262 0.22109935919 0.265553391118 0.309521423046 0.35335843901 0.397794470938 0.441586486902 0.48606751883 0.530053550758 0.573818566722 0.61825459865 0.662073614614 0.706464646542 0.75037867847 0.794787710398 0.838773742326 0.88258375829 0.926974790218 0.970775806182 1","35850929.417516 36079891.039581 36491342.823797 36065252.197922 36434823.443753 35992235.813198 36390075.467105 36498834.713429 36006815.428355 36536340.352892 35970388.515039 36375183.890627 36558880.758004 36006815.428355 36513827.725262 36043316.194927 36434823.443753 36028707.011539 36375183.890627 36521328.851256 36043316.194927 36528833.059832 35586952.594033"
bothTestSameTim-3516-20221223-13:43:55-10140,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044224103766 0.088242151658 0.132430167622 0.17647919955 0.220775215514 0.264680247442 0.30866627937 0.353052295334 0.397065327262 0.441298343226 0.485284375154 0.529207407082 0.573494423046 0.617611470938 0.661853486902 0.70578551883 0.750009534794 0.794004566722 0.83790959865 0.882205614614 0.926209646542 0.970496662506 1","36179365.182073 36348726.865981 36208912.418777 36323159.215287 36120629.929796 36442292.141453 36375183.890627 36047389.369159 36352869.364178 36172075.657292 36375183.890627 36427357.806783 36127970.358188 36267159.215115 36164717.297284 36419895.228662 36179437.012289 36367742.671911 36442292.141453 36120629.929796 36360304.49705 36127970.358188 36334872.290906"
bothTestSameTim-3517-20221223-13:43:55-5100,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044494247442 0.08887627937 0.132623295334 0.177059327262 0.22098235919 0.265454391118 0.309377423046 0.35316043901 0.397587470938 0.441433486902 0.48584251883 0.529792550758 0.573602566722 0.61801159865 0.661776614614 0.706203646542 0.75012667847 0.794526710398 0.838503742326 0.88232275829 0.926794790218 0.970676806182 1","35959704.725553 36050625.230401 36573923.152077 36006815.428355 36427357.806783 35977668.000203 36427357.806783 36543850.732338 36014109.666228 36491342.823797 36028707.011539 36404979.241452 36521328.851256 36028707.011539 36558880.758004 36014109.666228 36427357.806783 36036010.122574 36382628.155069 36513827.725262 35977668.000203 36461405.996311 35466805.098209"
bothTestSameTim-3518-20221223-13:43:56-12116,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044152103766 0.088215151658 0.132430167622 0.17641619955 0.220694215514 0.264698247442 0.30858527937 0.352836295334 0.396795327262 0.441028343226 0.484933375154 0.528946407082 0.573260423046 0.617359470938 0.661628486902 0.70563251883 0.749928534794 0.793914566722 0.83786459865 0.882223614614 0.926182646542 0.970505662506 1","36238363.827005 36311605.223535 36186801.364105 36375183.890627 36135313.770628 36360304.49705 36457238.726577 36157361.930439 36397525.828608 36172075.657292 36442292.141453 36352869.364178 36105958.017883 36281962.456842 36142660.168935 36360304.49705 36120629.929796 36375183.890627 36404979.241452 36069330.33182 36397525.828608 36098626.53073 36345959.63439"
bothTestSameTim-3519-20221223-13:43:56-19448,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044143103766 0.088179151658 0.132547167622 0.17657819955 0.220820215514 0.264833247442 0.30876527937 0.352989295334 0.396939327262 0.441190343226 0.485122375154 0.529090407082 0.573350423046 0.617449470938 0.661790486902 0.70566851883 0.749910534794 0.793815566722 0.83780159865 0.882124614614 0.926047646542 0.970334662506 1","36245752.190002 36333869.104786 36062013.710467 36338008.21694 36164717.297284 36352869.364178 36419895.228662 36179437.012289 36404979.241452 36157361.930439 36419895.228662 36390075.467105 36150009.554931 36281962.456842 36083972.484957 36464716.61777 36164717.297284 36442292.141453 36375183.890627 36098626.53073 36427357.806783 36127970.358188 36136450.502773"
bothTestSameTim-3502-20221223-13:43:48-14584,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044557247442 0.08902027937 0.132812295334 0.177158327262 0.22113535919 0.265553391118 0.309521423046 0.35329543901 0.397731470938 0.441631486902 0.48617551883 0.530053550758 0.573854566722 0.61820959865 0.661974614614 0.706329646542 0.75025267847 0.794643710398 0.838575742326 0.88234975829 0.926722790218 0.970604806182 1","35908860.88919 35984950.432326 36536340.352892 36079891.039581 36382628.155069 36021406.860023 36390075.467105 36551364.200074 36006815.428355 36446455.994733 35919514.483696 36464716.61777 36528833.059832 36072570.133581 36558880.758004 36072570.133581 36427357.806783 36043316.194927 36419895.228662 36551364.200074 36057937.230798 36461405.996311 35379933.414937"
bothTestSameTim-3520-20221223-13:43:57-18960,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044179103766 0.088251151658 0.132430167622 0.17644319955 0.220658215514 0.264680247442 0.30863027937 0.352917295334 0.396885327262 0.441199343226 0.485194375154 0.529162407082 0.573377423046 0.617467470938 0.661799486902 0.70567751883 0.749991534794 0.793860566722 0.83776559865 0.882070614614 0.926065646542 0.970280662506 1","36216216.799566 36304189.991825 36216288.776187 36352869.364178 36186801.364105 36345437.27143 36404979.241452 36127970.358188 36390075.467105 36105958.017883 36367742.671911 36390075.467105 36186801.364105 36289368.610332 36091298.020358 36464716.61777 36105958.017883 36472197.577234 36442292.141453 36113292.483634 36367742.671911 36186801.364105 36070790.616259"
bothTestSameTim-3521-20221223-13:43:58-15544,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044374151658 0.088342183586 0.132661215514 0.176629247442 0.220880263406 0.264749295334 0.309140327262 0.352923343226 0.396945375154 0.441205391118 0.485056423046 0.529465454974 0.573302470938 0.617279502866 0.661643534794 0.705602566722 0.749835582686 0.793821614614 0.838230646542 0.882049662506 0.925999694434 0.970250710398 1","36057027.350776 36390075.467105 36101871.597722 36390075.467105 36157361.930439 36472197.577234 36043316.194927 36543850.732338 36345437.27143 36150009.554931 36487168.708528 36028707.011539 36498834.713429 36382628.155069 36065252.197922 36397525.828608 36172075.657292 36375183.890627 36028707.011539 36513827.725262 36404979.241452 36157361.930439 35496645.941052"
bothTestSameTim-3522-20221223-13:44:00-13552,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044278103766 0.088359151658 0.132637167622 0.17661419955 0.220955215514 0.264896247442 0.30881927937 0.353070295334 0.396993327262 0.441307343226 0.485221375154 0.529180407082 0.573467423046 0.617593470938 0.661799486902 0.70570451883 0.750009534794 0.793887566722 0.83779259865 0.882070614614 0.926047646542 0.970334662506 1","36135242.115508 36296777.788043 36135313.770628 36382628.155069 36083972.484957 36412435.707511 36427357.806783 36157361.930439 36427357.806783 36105958.017883 36434823.443753 36397525.828608 36127970.358188 36259762.123181 36194168.71457 36442292.141453 36113292.483634 36464716.61777 36442292.141453 36135313.770628 36382628.155069 36127970.358188 36136450.502773"
bothTestSameTim-3523-20221223-13:44:01-5152,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044584247442 0.08901127937 0.132731295334 0.177203327262 0.22119835919 0.265526391118 0.309494423046 0.35331343901 0.397641470938 0.441460486902 0.48590551883 0.529846550758 0.573593566722 0.61797559865 0.661803614614 0.706158646542 0.75008167847 0.794571710398 0.838584742326 0.88247575829 0.926902790218 0.970730806182 1","35887114.660429 36014109.666228 36596509.967368 35977668.000203 36367742.671911 36094541.76984 36390075.467105 36513827.725262 36094541.76984 36513827.725262 35999524.14461 36412435.707511 36573923.152077 36050625.230401 36506329.679952 36072570.133581 36427357.806783 35963111.975045 36352869.364178 36453929.462748 36014109.666228 36506329.679952 35532239.338974"
bothTestSameTim-3524-20221223-13:44:01-9984,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.04447919955 0.088924231478 0.132716247442 0.177346295334 0.221201311298 0.265133343226 0.309443375154 0.353307391118 0.397653423046 0.44142743901 0.485368470938 0.529732502866 0.57351551883 0.617897550758 0.661770566722 0.706364614614 0.750201630578 0.794160662506 0.838533694434 0.882334710398 0.926824742326 0.97064375829 1","35971870.361592 35999524.14461 36536340.352892 35850286.422991 36483854.009161 36419895.228662 36109204.403189 36476368.267629 36079891.039581 36551364.200074 36412435.707511 36065252.197922 36543850.732338 36050625.230401 36468885.597308 35879227.736288 36498834.713429 36397525.828608 36057937.230798 36528833.059832 35963111.975045 36513827.725262 35971907.113719"
bothTestSameTim-3525-20221223-13:44:01-1820,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044224103766 0.088323151658 0.132619167622 0.17660519955 0.220838215514 0.264833247442 0.30879227937 0.353025295334 0.396957327262 0.441253343226 0.485185375154 0.529162407082 0.573359423046 0.617431470938 0.661736486902 0.70573151883 0.750018534794 0.794076566722 0.83803559865 0.882295614614 0.926272646542 0.970496662506 1","36179365.182073 36281962.456842 36120629.929796 36375183.890627 36172075.657292 36367742.671911 36397525.828608 36172075.657292 36419895.228662 36120629.929796 36419895.228662 36382628.155069 36201539.065516 36304189.991825 36113292.483634 36367742.671911 36127970.358188 36315739.264403 36397525.828608 36150009.554931 36382628.155069 36179437.012289 36334872.290906"
bothTestSameTim-3526-20221223-13:44:02-8244,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044197103766 0.088269151658 0.132556167622 0.17646119955 0.220748215514 0.264680247442 0.30860327937 0.352881295334 0.396759327262 0.441082343226 0.484978375154 0.529027407082 0.573305423046 0.617422470938 0.661628486902 0.70558751883 0.749802534794 0.793716566722 0.83764859865 0.881971614614 0.925939646542 0.970226662506 1","36201467.147511 36304189.991825 36127970.358188 36442292.141453 36127970.358188 36419895.228662 36427357.806783 36135313.770628 36464716.61777 36098626.53073 36449763.901766 36323159.215287 36135313.770628 36267159.215115 36194168.71457 36397525.828608 36186801.364105 36434823.443753 36419895.228662 36098626.53073 36390075.467105 36127970.358188 36005368.904848"
bothTestSameTim-3527-20221223-13:44:02-1632,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044098103766 0.088233151658 0.132520167622 0.17652419955 0.220784215514 0.264734247442 0.30866627937 0.352971295334 0.396957327262 0.441217343226 0.485158375154 0.529027407082 0.573197423046 0.617278470938 0.661466486902 0.70540751883 0.749748534794 0.793626566722 0.83751359865 0.881764614614 0.925768646542 0.970073662506 1","36282739.241809 36252368.04807 36127970.358188 36360304.49705 36150009.554931 36404979.241452 36419895.228662 36113292.483634 36375183.890627 36150009.554931 36412435.707511 36472197.577234 36223668.139583 36296777.788043 36208912.418777 36412435.707511 36083972.484957 36464716.61777 36457238.726577 36157361.930439 36360304.49705 36113292.483634 35821289.531836"
bothTestSameTim-3528-20221223-13:44:02-3368,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044284151658 0.088243183586 0.132733215514 0.176656247442 0.220925263406 0.264884295334 0.309275327262 0.353175343226 0.397134375154 0.441313391118 0.485245423046 0.529618454974 0.573419470938 0.617369502866 0.661778534794 0.705647566722 0.749916582686 0.793911614614 0.838410646542 0.882256662506 0.926341694434 0.970646710398 1","36130307.121079 36397525.828608 35963111.975045 36427357.806783 36142660.168935 36397525.828608 36043316.194927 36446455.994733 36397525.828608 36216288.776187 36419895.228662 36057937.230798 36528833.059832 36404979.241452 36028707.011539 36472197.577234 36142660.168935 36367742.671911 35955838.378435 36491342.823797 36293497.58923 36113292.483634 35975524.86683"
bothTestSameTim-3529-20221223-13:44:02-5472,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.044338151658 0.088261183586 0.132715215514 0.176674247442 0.220961263406 0.264875295334 0.309230327262 0.353058343226 0.397071375154 0.441385391118 0.485299423046 0.529699454974 0.573482470938 0.617558502866 0.662048534794 0.706025566722 0.750258582686 0.794181614614 0.838590646542 0.882409662506 0.926422694434 0.970709710398 1","36086303.559551 36427357.806783 35992235.813198 36397525.828608 36127970.358188 36434823.443753 36072570.133581 36506329.679952 36352869.364178 36105958.017883 36434823.443753 36036010.122574 36543850.732338 36300908.453231 35963111.975045 36382628.155069 36172075.657292 36427357.806783 36028707.011539 36513827.725262 36352869.364178 36127970.358188 36052904.028914"
bothTestSameTim-3503-20221223-13:43:48-9436,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.04450619955 0.088879231478 0.132689247442 0.177193295334 0.220949311298 0.264926343226 0.309452375154 0.353280391118 0.397752423046 0.44158943901 0.485440470938 0.529822502866 0.57360551883 0.618005550758 0.661815566722 0.706346614614 0.750156630578 0.794016662506 0.838389694434 0.882208710398 0.926626742326 0.97034675829 1","35950047.772614 36057937.230798 36521328.851256 35951785.866373 36566400.408035 36382628.155069 35934035.231059 36506329.679952 35977668.000203 36498834.713429 36487168.708528 36050625.230401 36543850.732338 36036010.122574 36521328.851256 35929987.63201 36521328.851256 36479681.606856 36057937.230798 36513827.725262 36021406.860023 36596509.967368 35611620.82471"
