run,type,module,name,attrname,attrvalue,vectime,vecvalue
bothTestSameTim-287-20221223-17:50:06-12840,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.018593444742 0.037425881502 0.056204318262 0.075036755022 0.093806191782 0.112656628542 0.131408065302 0.150213502062 0.169063938822 0.187896375582 0.206701812342 0.225480249102 0.244330685862 0.263127122622 0.281968559382 0.300782996142 0.319561432902 0.338339869662 0.357163306422 0.375932743182 0.394738179942 0.413534616702 0.432295053462 0.451118490222 0.469932926982 0.488729363742 0.507498800502 0.526313237262 0.545109674022 0.563861110782 0.582621547542 0.601417984302 0.620214421062 0.639073857822 0.657870294582 0.676675731342 0.695490168102 0.714295604862 0.733065041622 0.751888478382 0.770702915142 0.789517351902 0.808340788662 0.827173225422 0.845942662182 0.864712098942 0.883553535702 0.902331972462 0.921137409222 0.939888845982 0.958631282742 0.977427719502 0.996242156262 1","21512958.22535 21239949.194976 21301027.615464 21239949.194976 21311241.520707 21219667.485307 21331698.744987 21270444.558396 21219667.485307 21239949.194976 21270444.558396 21301027.615464 21219667.485307 21280629.148351 21229803.496153 21260269.712161 21301027.615464 21301027.615464 21250104.595671 21311241.520707 21270444.558396 21280629.148351 21321465.225845 21250104.595671 21260269.712161 21280629.148351 21311241.520707 21260269.712161 21280629.148351 21331698.744987 21321465.225845 21280629.148351 21280629.148351 21209541.148566 21280629.148351 21270444.558396 21260269.712161 21270444.558396 21311241.520707 21250104.595671 21260269.712161 21260269.712161 21250104.595671 21239949.194976 21311241.520707 21311241.520707 21229803.496153 21301027.615464 21270444.558396 21331698.744987 21341942.092273 21280629.148351 21260269.712161 21288804.31909"
bothTestSameTim-268-20221223-17:50:00-1344,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.018557444742 0.037362881502 0.056132318262 0.074892755022 0.093698191782 0.112440628542 0.131219065302 0.149934502062 0.168703938822 0.187428375582 0.206188812342 0.225012249102 0.243808685862 0.262632122622 0.281419559382 0.300188996142 0.319003432902 0.337817869662 0.356587306422 0.375365743182 0.394144179942 0.412922616702 0.431737053462 0.450551490222 0.469356926982 0.488126363742 0.506877800502 0.525719237262 0.544479674022 0.563294110782 0.582126547542 0.600940984302 0.619710421062 0.638506857822 0.657249294582 0.676063731342 0.694932168102 0.713755604862 0.732543041622 0.751339478382 0.770081915142 0.788887351902 0.807674788662 0.826462225422 0.845258662182 0.863983098942 0.882788535702 0.901566972462 0.920327409222 0.939123845982 0.957929282742 0.976689719502 0.995495156262 1","21554691.691723 21270444.558396 21311241.520707 21321465.225845 21270444.558396 21341942.092273 21301027.615464 21372731.244772 21311241.520707 21362458.327959 21321465.225845 21250104.595671 21280629.148351 21250104.595671 21290823.496031 21311241.520707 21260269.712161 21260269.712161 21311241.520707 21301027.615464 21301027.615464 21301027.615464 21260269.712161 21260269.712161 21270444.558396 21311241.520707 21331698.744987 21229803.496153 21321465.225845 21260269.712161 21239949.194976 21260269.712161 21311241.520707 21280629.148351 21341942.092273 21260269.712161 21199424.472089 21250104.595671 21290823.496031 21280629.148351 21341942.092273 21270444.558396 21290823.496031 21290823.496031 21280629.148351 21362458.327959 21270444.558396 21301027.615464 21321465.225845 21280629.148351 21270444.558396 21321465.225845 21270444.558396 20422461.987737"
bothTestSameTim-275-20221223-17:50:02-7208,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.018548444742 0.037380881502 0.056204318262 0.074991755022 0.093788191782 0.112647628542 0.131462065302 0.150267502062 0.169090938822 0.187914375582 0.206746812342 0.225588249102 0.244420685862 0.263181122622 0.281950559382 0.300791996142 0.319642432902 0.338438869662 0.357262306422 0.376094743182 0.394927179942 0.413741616702 0.432475053462 0.451262490222 0.470049926982 0.488864363742 0.507606800502 0.526385237262 0.545208674022 0.564014110782 0.582801547542 0.601570984302 0.620376421062 0.639154857822 0.657969294582 0.676756731342 0.695517168102 0.714277604862 0.733074041622 0.751861478382 0.770675915142 0.789454351902 0.808259788662 0.827047225422 0.845834662182 0.864631098942 0.883409535702 0.902241972462 0.921074409222 0.939888845982 0.958685282742 0.977445719502 0.996233156262 1","21565150.370492 21239949.194976 21250104.595671 21290823.496031 21280629.148351 21209541.148566 21260269.712161 21270444.558396 21250104.595671 21250104.595671 21239949.194976 21229803.496153 21239949.194976 21321465.225845 21311241.520707 21229803.496153 21219667.485307 21280629.148351 21250104.595671 21239949.194976 21239949.194976 21260269.712161 21352195.281866 21290823.496031 21290823.496031 21260269.712161 21341942.092273 21301027.615464 21250104.595671 21270444.558396 21290823.496031 21311241.520707 21270444.558396 21301027.615464 21260269.712161 21290823.496031 21321465.225845 21321465.225845 21280629.148351 21290823.496031 21260269.712161 21301027.615464 21270444.558396 21290823.496031 21290823.496031 21280629.148351 21301027.615464 21239949.194976 21239949.194976 21260269.712161 21280629.148351 21321465.225845 21290823.496031 21237939.655675"
bothTestSameTim-232-20221223-17:49:47-6840,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.018629444742 0.037416881502 0.056240318262 0.075045755022 0.093851191782 0.112620628542 0.131417065302 0.150222502062 0.169027938822 0.187833375582 0.206629812342 0.225435249102 0.244249685862 0.263073122622 0.281878559382 0.300674996142 0.319426432902 0.338204869662 0.357055306422 0.375869743182 0.394702179942 0.413489616702 0.432268053462 0.451037490222 0.469869926982 0.488666363742 0.507417800502 0.526250237262 0.545055674022 0.563816110782 0.582639547542 0.601426984302 0.620259421062 0.639055857822 0.657870294582 0.676684731342 0.695508168102 0.714358604862 0.733092041622 0.751807478382 0.770612915142 0.789382351902 0.808205788662 0.826993225422 0.845771662182 0.864604098942 0.883409535702 0.902169972462 0.920984409222 0.939789845982 0.958613282742 0.977391719502 0.996233156262 1","21471386.052543 21290823.496031 21250104.595671 21270444.558396 21270444.558396 21311241.520707 21280629.148351 21270444.558396 21270444.558396 21270444.558396 21280629.148351 21270444.558396 21260269.712161 21250104.595671 21270444.558396 21280629.148351 21331698.744987 21301027.615464 21219667.485307 21260269.712161 21239949.194976 21290823.496031 21301027.615464 21311241.520707 21239949.194976 21280629.148351 21331698.744987 21239949.194976 21270444.558396 21321465.225845 21250104.595671 21290823.496031 21239949.194976 21280629.148351 21260269.712161 21260269.712161 21250104.595671 21219667.485307 21352195.281866 21372731.244772 21270444.558396 21311241.520707 21250104.595671 21290823.496031 21301027.615464 21239949.194976 21270444.558396 21321465.225845 21260269.712161 21270444.558396 21250104.595671 21301027.615464 21229803.496153 21237939.655675"
bothTestSameTim-247-20221223-17:49:51-16540,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.018530444742 0.037299881502 0.056105318262 0.074928755022 0.093707191782 0.112503628542 0.131318065302 0.150159502062 0.168973938822 0.187725375582 0.206494812342 0.225282249102 0.244078685862 0.262839122622 0.281653559382 0.300386996142 0.319210432902 0.337943869662 0.356767306422 0.375599743182 0.394369179942 0.413156616702 0.431953053462 0.450695490222 0.469509926982 0.488279363742 0.507093800502 0.525908237262 0.544659674022 0.563438110782 0.582225547542 0.600976984302 0.619773421062 0.638533857822 0.657330294582 0.676144731342 0.694941168102 0.713719604862 0.732525041622 0.751366478382 0.770126915142 0.788941351902 0.807701788662 0.826507225422 0.845303662182 0.864100098942 0.882824535702 0.901638972462 0.920399409222 0.939159845982 0.957938282742 0.976698719502 0.995486156262 1","21586098.20591 21311241.520707 21270444.558396 21250104.595671 21301027.615464 21280629.148351 21260269.712161 21229803.496153 21260269.712161 21331698.744987 21311241.520707 21290823.496031 21280629.148351 21321465.225845 21260269.712161 21352195.281866 21250104.595671 21352195.281866 21250104.595671 21239949.194976 21311241.520707 21290823.496031 21280629.148351 21341942.092273 21260269.712161 21311241.520707 21260269.712161 21260269.712161 21331698.744987 21301027.615464 21290823.496031 21331698.744987 21280629.148351 21321465.225845 21280629.148351 21260269.712161 21280629.148351 21301027.615464 21270444.558396 21229803.496153 21321465.225845 21260269.712161 21321465.225845 21270444.558396 21280629.148351 21280629.148351 21362458.327959 21260269.712161 21321465.225845 21321465.225845 21301027.615464 21321465.225845 21290823.496031 20381742.333146"
bothTestSameTim-202-20221223-17:49:37-3396,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.018611444742 0.037398881502 0.056222318262 0.075054755022 0.093887191782 0.112728628542 0.131525065302 0.150375502062 0.169135938822 0.187914375582 0.206701812342 0.225498249102 0.244294685862 0.263073122622 0.281833559382 0.300620996142 0.319417432902 0.338240869662 0.357064306422 0.375815743182 0.394585179942 0.413345616702 0.432178053462 0.450920490222 0.469680926982 0.488468363742 0.507228800502 0.526070237262 0.544839674022 0.563654110782 0.582423547542 0.601228984302 0.619962421062 0.638722857822 0.657456294582 0.676243731342 0.695040168102 0.713818604862 0.732597041622 0.751447478382 0.770252915142 0.789013351902 0.807764788662 0.826597225422 0.845357662182 0.864181098942 0.882986535702 0.901818972462 0.920606409222 0.939384845982 0.958154282742 0.976986719502 0.995738156262 1","21492152.035749 21290823.496031 21250104.595671 21239949.194976 21239949.194976 21229803.496153 21280629.148351 21219667.485307 21321465.225845 21301027.615464 21290823.496031 21280629.148351 21280629.148351 21301027.615464 21321465.225845 21290823.496031 21280629.148351 21250104.595671 21250104.595671 21331698.744987 21311241.520707 21321465.225845 21239949.194976 21341942.092273 21321465.225845 21290823.496031 21321465.225845 21229803.496153 21311241.520707 21260269.712161 21311241.520707 21270444.558396 21352195.281866 21321465.225845 21352195.281866 21290823.496031 21280629.148351 21301027.615464 21301027.615464 21219667.485307 21270444.558396 21321465.225845 21331698.744987 21239949.194976 21321465.225845 21250104.595671 21270444.558396 21239949.194976 21290823.496031 21301027.615464 21311241.520707 21239949.194976 21331698.744987 20648340.345134"
bothTestSameTim-218-20221223-17:49:42-7952,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.018548444742 0.037326881502 0.056132318262 0.074928755022 0.093761191782 0.112521628542 0.131318065302 0.150096502062 0.168883938822 0.187680375582 0.206440812342 0.225228249102 0.244033685862 0.262785122622 0.281572559382 0.300323996142 0.319084432902 0.337880869662 0.356650306422 0.375455743182 0.394162179942 0.412940616702 0.431755053462 0.450551490222 0.469383926982 0.488162363742 0.506985800502 0.525782237262 0.544560674022 0.563402110782 0.582198547542 0.601030984302 0.619764421062 0.638560857822 0.657393294582 0.676117731342 0.694896168102 0.713638604862 0.732417041622 0.751258478382 0.770081915142 0.788869351902 0.807701788662 0.826462225422 0.845222662182 0.863992098942 0.882788535702 0.901548972462 0.920336409222 0.939123845982 0.957893282742 0.976671719502 0.995468156262 1","21565150.370492 21301027.615464 21270444.558396 21280629.148351 21239949.194976 21321465.225845 21280629.148351 21301027.615464 21290823.496031 21280629.148351 21321465.225845 21290823.496031 21270444.558396 21331698.744987 21290823.496031 21331698.744987 21321465.225845 21280629.148351 21311241.520707 21270444.558396 21383014.046551 21301027.615464 21260269.712161 21280629.148351 21239949.194976 21301027.615464 21250104.595671 21280629.148351 21301027.615464 21229803.496153 21280629.148351 21239949.194976 21352195.281866 21280629.148351 21239949.194976 21362458.327959 21301027.615464 21341942.092273 21301027.615464 21229803.496153 21250104.595671 21290823.496031 21239949.194976 21321465.225845 21321465.225845 21311241.520707 21280629.148351 21321465.225845 21290823.496031 21290823.496031 21311241.520707 21301027.615464 21280629.148351 20300788.226339"
bothTestSameTim-263-20221223-17:49:58-15432,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.018530444742 0.037335881502 0.056114318262 0.074856755022 0.093617191782 0.112440628542 0.131219065302 0.150015502062 0.168802938822 0.187572375582 0.206377812342 0.225156249102 0.243988685862 0.262812122622 0.281563559382 0.300341996142 0.319174432902 0.337952869662 0.356731306422 0.375536743182 0.394306179942 0.413066616702 0.431917053462 0.450785490222 0.469563926982 0.488333363742 0.507102800502 0.525908237262 0.544704674022 0.563501110782 0.582315547542 0.601138984302 0.619917421062 0.638722857822 0.657537294582 0.676333731342 0.695040168102 0.713827604862 0.732669041622 0.751501478382 0.770243915142 0.789013351902 0.807836788662 0.826615225422 0.845420662182 0.864208098942 0.882950535702 0.901728972462 0.920516409222 0.939321845982 0.958136282742 0.976869719502 0.995693156262 1","21586098.20591 21270444.558396 21301027.615464 21341942.092273 21321465.225845 21250104.595671 21301027.615464 21280629.148351 21290823.496031 21311241.520707 21270444.558396 21301027.615464 21239949.194976 21250104.595671 21331698.744987 21301027.615464 21239949.194976 21301027.615464 21301027.615464 21270444.558396 21311241.520707 21321465.225845 21219667.485307 21199424.472089 21301027.615464 21311241.520707 21311241.520707 21270444.558396 21280629.148351 21280629.148351 21260269.712161 21250104.595671 21301027.615464 21270444.558396 21260269.712161 21280629.148351 21383014.046551 21290823.496031 21229803.496153 21239949.194976 21341942.092273 21311241.520707 21250104.595671 21301027.615464 21270444.558396 21290823.496031 21341942.092273 21301027.615464 21290823.496031 21270444.558396 21260269.712161 21352195.281866 21250104.595671 20432596.433337"
bothTestSameTim-293-20221223-17:50:08-2196,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.018539444742 0.037353881502 0.056096318262 0.074910755022 0.093671191782 0.112512628542 0.131291065302 0.150051502062 0.168883938822 0.187725375582 0.206503812342 0.225273249102 0.244033685862 0.262839122622 0.281608559382 0.300422996142 0.319228432902 0.338015869662 0.356830306422 0.375599743182 0.394378179942 0.413138616702 0.431935053462 0.450749490222 0.469536926982 0.488297363742 0.507093800502 0.525926237262 0.544704674022 0.563510110782 0.582270547542 0.601057984302 0.619854421062 0.638632857822 0.657411294582 0.676216731342 0.695040168102 0.713872604862 0.732588041622 0.751384478382 0.770180915142 0.788950351902 0.807737788662 0.826516225422 0.845276662182 0.864091098942 0.882851535702 0.901692972462 0.920516409222 0.939330845982 0.958136282742 0.976860719502 0.995693156262 1","21575619.203623 21260269.712161 21341942.092273 21260269.712161 21321465.225845 21229803.496153 21301027.615464 21321465.225845 21239949.194976 21229803.496153 21301027.615464 21311241.520707 21321465.225845 21270444.558396 21311241.520707 21260269.712161 21270444.558396 21290823.496031 21260269.712161 21311241.520707 21301027.615464 21321465.225845 21280629.148351 21260269.712161 21290823.496031 21321465.225845 21280629.148351 21239949.194976 21301027.615464 21270444.558396 21321465.225845 21290823.496031 21280629.148351 21301027.615464 21301027.615464 21270444.558396 21250104.595671 21239949.194976 21372731.244772 21280629.148351 21280629.148351 21311241.520707 21290823.496031 21301027.615464 21321465.225845 21260269.712161 21321465.225845 21229803.496153 21250104.595671 21260269.712161 21270444.558396 21362458.327959 21239949.194976 20432596.433337"
bothTestSameTim-208-20221223-17:49:39-3724,vector,Throughput.destinationHost.app[0],throughput:vector,,,"0.018584444742 0.037362881502 0.056168318262 0.074928755022 0.093725191782 0.112521628542 0.131300065302 0.150168502062 0.168991938822 0.187806375582 0.206602812342 0.225426249102 0.244249685862 0.263019122622 0.281797559382 0.300575996142 0.319318432902 0.338114869662 0.356893306422 0.375608743182 0.394378179942 0.413093616702 0.431872053462 0.450677490222 0.469419926982 0.488279363742 0.507111800502 0.525890237262 0.544722674022 0.563546110782 0.582387547542 0.601219984302 0.620052421062 0.638875857822 0.657663294582 0.676459731342 0.695310168102 0.714079604862 0.732912041622 0.751744478382 0.770567915142 0.789418351902 0.808178788662 0.826957225422 0.845753662182 0.864577098942 0.883355535702 0.902142972462 0.920921409222 0.939744845982 0.958532282742 0.977373719502 0.996188156262 1","21523376.434057 21301027.615464 21270444.558396 21321465.225845 21280629.148351 21280629.148351 21301027.615464 21199424.472089 21250104.595671 21260269.712161 21280629.148351 21250104.595671 21250104.595671 21311241.520707 21301027.615464 21301027.615464 21341942.092273 21280629.148351 21301027.615464 21372731.244772 21311241.520707 21372731.244772 21301027.615464 21270444.558396 21341942.092273 21209541.148566 21239949.194976 21301027.615464 21239949.194976 21250104.595671 21229803.496153 21239949.194976 21239949.194976 21250104.595671 21290823.496031 21280629.148351 21219667.485307 21311241.520707 21239949.194976 21239949.194976 21250104.595671 21219667.485307 21321465.225845 21301027.615464 21280629.148351 21250104.595671 21301027.615464 21290823.496031 21301027.615464 21250104.595671 21290823.496031 21229803.496153 21260269.712161 20987219.177556"
