run,type,module,name,attrname,attrvalue,vectime,vecvalue
NoFragmentation-399-20221218-17:01:05-6484,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.38976186667 4.48976186667 4.58976186667 4.68976186667 4.78976186667 4.88976186667 4.98976186667 5.08976186667 5.18976186667 5.28976186667 5.38976186667 5.48976186667 5.58976186667 5.68976186667 5.78976186667 5.88976186667 5.98976186667 6","1680000 3416000 4144000 3248000 1736000 4368000 4312000 4424000 2632000 4424000 3360000 3528000 3024000 1680000 4984000 3192000 5208000 2688000 4312000 4032000 2856000 3360000 4872000 2128000 3248000 560000 5096000 2688000 3584000 4256000 1400000 3864000 4144000 3304000 4368000 4424000 4704000 3528000 4144000 3696000 4536000 3808000 1904000 6301116.7323354 2968000 2184000 5040000 3920000 2912000 3752000 3136000 3920000 3976000 3080000 3024000 2296000 3640000 3640000 1568000 56000 0"
NoFragmentation-398-20221218-17:01:03-18516,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6","2184000 3864000 3024000 168000 4424000 1400000 4144000 5432000 3808000 4200000 2296000 3528000 1848000 3584000 3584000 3136000 4592000 0 3752000 1008000 4648000 3808000 2632000 2520000 3920000 4088000 4480000 3248000 4816000 3640000 112000 5432000 3528000 3024000 3808000 4424000 5096000 3024000 4704000 4256000 2800000 3976000 1736000 4424000 4368000 2856000 616000 3528000 2296000 3584000 2352000 336000 4256000 4480000 3416000 4480000 5208000 3248000 3304000 3696000"
NoFragmentation-397-20221218-17:01:03-6408,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6","1792000 168000 4592000 1456000 3752000 1232000 3584000 1064000 3080000 4088000 3192000 2912000 4032000 3584000 3976000 4144000 3808000 2632000 3696000 2464000 4088000 3304000 224000 4200000 3752000 3920000 2912000 5040000 2856000 3584000 1512000 4144000 392000 4872000 4368000 4480000 3696000 3920000 4424000 3024000 4088000 5544000 3136000 3024000 2744000 3528000 1232000 3920000 2464000 3248000 2968000 3920000 3416000 3248000 2352000 3024000 3584000 3304000 4144000 4088000"
NoFragmentation-396-20221218-17:01:02-5772,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.79889732643 0.89889732643 0.99889732643 1.09889732643 1.19889732643 1.29889732643 1.39889732643 1.49889732643 1.59889732643 1.69889732643 1.79889732643 1.89889732643 1.99889732643 2.09889732643 2.19889732643 2.29889732643 2.39889732643 2.49889732643 2.59889732643 2.69889732643 2.79889732643 2.89889732643 2.99889732643 3.09889732643 3.19889732643 3.29889732643 3.39889732643 3.49889732643 3.58053173161 3.68053173161 3.78053173161 3.88053173161 3.98053173161 4.08053173161 4.18053173161 4.28053173161 4.38053173161 4.48053173161 4.58053173161 4.68053173161 4.78053173161 4.88053173161 4.98053173161 5.08053173161 5.18053173161 5.28053173161 5.38053173161 5.48053173161 5.58053173161 5.68053173161 5.78053173161 5.88053173161 5.98053173161 6","2632000 2968000 3192000 4984000 3248000 3192000 4144000 5719062.5916499 2240000 4312000 4088000 3528000 3528000 3920000 2240000 5432000 560000 3584000 392000 3976000 5320000 1232000 3640000 2632000 3752000 2520000 3080000 3976000 4200000 3472000 4480000 3864000 4312000 3192000 448000 6928451.2914975 2464000 168000 4648000 3080000 4032000 3024000 4312000 1456000 5152000 3248000 3976000 3640000 3696000 3360000 3584000 3696000 4424000 3080000 3304000 3976000 2800000 1848000 5208000 4032000 4890008.6074887"
NoFragmentation-395-20221218-17:01:01-21196,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.89668089105 4.99668089105 5.09668089105 5.19668089105 5.29668089105 5.39668089105 5.49668089105 5.59668089105 5.69668089105 5.79668089105 5.89668089105 5.99668089105 6","2128000 672000 3584000 2240000 2856000 168000 5432000 2912000 4424000 3696000 4592000 3472000 2744000 896000 3472000 3416000 3136000 3752000 4648000 1120000 3752000 4536000 4032000 4312000 3192000 1456000 3584000 616000 4480000 3304000 4032000 2912000 3584000 2856000 3696000 4424000 4984000 2072000 5264000 2912000 3696000 4368000 3864000 2856000 4256000 4424000 2800000 3752000 5850173.6367685 1344000 3640000 3360000 1792000 4424000 448000 5152000 0 3584000 392000 4200000 0"
NoFragmentation-394-20221218-17:01:01-16364,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.80003609191 1.90003609191 2.00003609191 2.10003609191 2.19710273355 2.29710273355 2.39710273355 2.49710273355 2.59710273355 2.69710273355 2.79710273355 2.89710273355 2.99710273355 3.09710273355 3.19710273355 3.29710273355 3.39710273355 3.49710273355 3.59710273355 3.69710273355 3.79710273355 3.89710273355 3.99710273355 4.09710273355 4.19710273355 4.29710273355 4.39710273355 4.49710273355 4.59710273355 4.69710273355 4.79710273355 4.89710273355 4.99710273355 5.09710273355 5.19710273355 5.29710273355 5.39710273355 5.49710273355 5.59710273355 5.69710273355 5.79710273355 5.89710273355 5.99710273355 6","0 0 0 0 0 0 0 0 0 0 840000 3416000 4312000 4760000 3360000 4144000 4032000 5653959.3780698 3920000 3416000 3024000 5826924.5792771 4536000 2464000 4984000 3024000 4032000 1176000 4648000 4704000 3976000 3696000 4144000 3752000 3360000 56000 4312000 3752000 2016000 2408000 5152000 3192000 3752000 4760000 4032000 3696000 4144000 1624000 3416000 2968000 2968000 4704000 2968000 4032000 2576000 3920000 112000 1624000 4368000 3976000 5798569.1995985"
NoFragmentation-393-20221218-17:01:00-15364,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5 5.1 5.2 5.3 5.4 5.50077247077 5.60077247077 5.70077247077 5.80077247077 5.90077247077 6","280000 112000 4088000 2240000 3696000 1120000 3360000 1008000 3192000 3080000 1064000 4928000 3640000 2576000 3080000 3416000 3472000 5488000 3360000 2632000 2800000 4368000 4368000 2632000 3752000 1624000 4368000 4144000 2520000 4368000 3696000 2968000 4200000 3808000 168000 4592000 4368000 3136000 2856000 4424000 4200000 2744000 4928000 4256000 1736000 5432000 3472000 3640000 2016000 3584000 672000 4424000 4480000 3248000 5612643.965939 4928000 2464000 3696000 1456000 5079235.61043"
NoFragmentation-392-20221218-17:01:00-9756,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.09340747271 3.19340747271 3.29340747271 3.39340747271 3.49340747271 3.59340747271 3.69340747271 3.79340747271 3.89340747271 3.99340747271 4.09340747271 4.19340747271 4.29340747271 4.39340747271 4.49340747271 4.59340747271 4.69340747271 4.79340747271 4.89340747271 4.99340747271 5.09333982913 5.19333982913 5.29333982913 5.39333982913 5.49333982913 5.59333982913 5.69333982913 5.79333982913 5.89333982913 5.99333982913 6","1512000 3976000 4648000 4032000 3584000 3416000 3976000 4872000 5320000 616000 4648000 3752000 3752000 4480000 3864000 4032000 3528000 2968000 1624000 3360000 56000 3528000 3360000 2576000 4312000 1176000 2912000 1456000 4368000 3304000 6055190.0569669 3528000 3528000 4312000 3976000 3584000 3808000 3416000 3304000 2520000 3360000 1960000 2576000 3640000 3360000 4480000 3360000 3752000 2576000 1176000 5659828.5106264 1904000 5208000 3696000 168000 4648000 3808000 4760000 4536000 3416000 1681638.5373008"
NoFragmentation-391-20221218-17:00:58-12464,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6","2520000 1624000 168000 4816000 1960000 728000 4760000 3696000 4480000 3920000 2016000 4200000 1344000 5096000 4312000 1680000 4144000 3976000 2520000 2912000 5544000 2968000 4256000 3640000 3976000 3976000 2744000 3640000 1624000 5376000 2800000 3360000 3920000 2408000 5152000 1736000 3584000 2520000 3920000 3136000 2744000 2296000 3584000 224000 3584000 672000 4368000 2408000 4312000 4424000 3752000 4032000 4144000 3976000 3192000 3304000 3080000 3360000 3304000 2128000"
NoFragmentation-390-20221218-17:00:57-18940,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.79617094369 0.89617094369 0.99617094369 1.09617094369 1.19617094369 1.29617094369 1.39617094369 1.49617094369 1.59617094369 1.69617094369 1.79617094369 1.89617094369 1.99617094369 2.09617094369 2.19617094369 2.29617094369 2.39617094369 2.49617094369 2.59617094369 2.69617094369 2.79617094369 2.89617094369 2.99617094369 3.09617094369 3.19617094369 3.29617094369 3.39617094369 3.49617094369 3.59617094369 3.69617094369 3.79617094369 3.89617094369 3.99617094369 4.09617094369 4.19617094369 4.29617094369 4.39617094369 4.49617094369 4.59617094369 4.69617094369 4.79617094369 4.89617094369 4.99617094369 5.09617094369 5.19617094369 5.29617094369 5.39617094369 5.49617094369 5.59617094369 5.69617094369 5.79617094369 5.89617094369 5.99617094369 6","1008000 3976000 2800000 4648000 4256000 3864000 3528000 5881194.2391162 3024000 3920000 4312000 2912000 4648000 3864000 56000 4424000 3304000 3528000 5432000 4256000 2744000 2632000 3584000 3080000 4368000 2520000 4144000 4256000 3808000 2968000 4256000 2688000 5208000 2800000 4480000 952000 4368000 2856000 3528000 3472000 3640000 4088000 3864000 1848000 4760000 3304000 2800000 4312000 4424000 4144000 4032000 4144000 4144000 3360000 3976000 3304000 3528000 3920000 3640000 4200000 4387504.0322925"
