run,type,module,name,attrname,attrvalue,vectime,vecvalue
NoFragmentation-0-20221217-17:35:34-11508,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6","3360000 4088000 3416000 3584000 3808000 3360000 3696000 3416000 3528000 3304000 3640000 3472000 3472000 3304000 2520000 2800000 3696000 3808000 3696000 4200000 3920000 3976000 3304000 3416000 3920000 4088000 3808000 3584000 3304000 3920000 3304000 3248000 4480000 2408000 3640000 3136000 3864000 3304000 3416000 3696000 3304000 3640000 3752000 3472000 3864000 3864000 3640000 3472000 3472000 3640000 3808000 3528000 4032000 3304000 3976000 3472000 2912000 3976000 3136000 3360000"
NoFragmentation-1-20221217-17:35:34-7260,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6","3528000 3080000 3080000 3752000 3920000 3360000 3976000 3528000 4088000 3696000 3304000 3080000 3024000 3864000 3584000 3920000 3640000 4088000 3808000 3192000 3584000 3416000 2744000 3528000 3920000 4088000 3640000 2912000 2408000 4312000 3640000 2632000 3304000 3136000 3864000 3976000 3584000 3192000 4032000 3528000 2576000 3808000 3360000 3416000 4032000 3584000 3976000 3528000 3752000 3696000 3528000 3472000 2968000 2688000 3192000 4312000 3752000 3696000 3136000 3248000"
NoFragmentation-10-20221217-17:35:34-7192,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6","2800000 3192000 3528000 3080000 3248000 3248000 3808000 3528000 3640000 3248000 3808000 2688000 3976000 4144000 3696000 3472000 3976000 3528000 3360000 3696000 3584000 3304000 2968000 3192000 4032000 3304000 3528000 3360000 2800000 3696000 4312000 3080000 3752000 3304000 3808000 4144000 3192000 2856000 4144000 3920000 4312000 3696000 3584000 2856000 3864000 3640000 3640000 3976000 3136000 3360000 2688000 2912000 3864000 4032000 2968000 3696000 3472000 3192000 3584000 3416000"
NoFragmentation-11-20221217-17:35:34-15100,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6","3640000 2856000 3976000 3584000 2912000 3640000 3528000 3528000 2856000 3080000 2912000 2352000 3528000 3080000 3864000 2912000 3416000 3024000 3472000 2968000 3752000 2576000 3248000 3360000 4032000 3696000 3808000 3080000 3864000 3920000 4032000 3472000 3360000 3360000 3640000 3864000 3528000 3696000 3976000 4032000 3472000 3472000 2968000 4032000 3528000 3696000 3360000 3640000 3920000 3584000 3584000 3584000 3808000 3304000 2464000 4200000 3584000 3920000 3528000 3808000"
NoFragmentation-12-20221217-17:35:41-19696,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6","0 0 0 0 0 0 0 0 0 0 2632000 3752000 3640000 3584000 2520000 3360000 3864000 3920000 4144000 3808000 3528000 4312000 4032000 3920000 3528000 3640000 4312000 3640000 4256000 3696000 3528000 3752000 3696000 3752000 3752000 3752000 3864000 3248000 2912000 3696000 3696000 2856000 4144000 3472000 3696000 4032000 1960000 3472000 3360000 3136000 3752000 3360000 3360000 2464000 3640000 3248000 3976000 3136000 2240000 4088000"
NoFragmentation-13-20221217-17:35:41-16804,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6","3024000 3136000 2800000 3920000 3080000 3192000 3752000 4200000 4088000 3752000 3472000 3304000 3696000 3024000 3248000 3808000 3528000 3248000 4088000 4088000 3640000 3360000 3360000 2520000 3920000 3192000 4256000 3864000 3472000 3640000 3136000 3080000 4032000 3528000 3472000 3304000 3024000 3864000 3192000 3696000 4200000 3192000 3024000 3192000 3416000 3752000 3472000 3808000 2968000 3248000 3920000 3416000 3864000 3472000 2408000 3192000 3528000 3640000 3248000 3808000"
NoFragmentation-14-20221217-17:35:41-4496,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6","3808000 3976000 3696000 3976000 3584000 3472000 3808000 3304000 3808000 3304000 4200000 3360000 3360000 4256000 3360000 3248000 3696000 3808000 3752000 3416000 4032000 3360000 3976000 2912000 3808000 3080000 2744000 3304000 3304000 3696000 3304000 2800000 3696000 4088000 3584000 3416000 3360000 3192000 3248000 2688000 3920000 4032000 3360000 2744000 3864000 3584000 3416000 3584000 3024000 3584000 3640000 2688000 3416000 3584000 3808000 3024000 3808000 3864000 3304000 3920000"
NoFragmentation-15-20221217-17:35:41-6212,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6","2632000 3976000 3920000 2744000 3640000 4480000 2912000 3024000 3640000 3808000 3472000 3696000 3752000 3472000 3080000 3808000 2968000 3640000 3808000 3248000 3584000 3080000 3416000 2296000 3024000 2800000 2520000 2688000 3808000 3584000 3528000 4144000 2408000 3136000 3528000 4200000 3472000 2856000 4032000 3248000 3528000 3360000 3304000 4088000 3920000 3808000 3640000 3864000 3416000 3640000 3976000 4032000 3920000 4032000 3080000 3584000 3416000 3360000 3752000 3640000"
NoFragmentation-16-20221217-17:35:41-10628,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6","3416000 3472000 3360000 3416000 3976000 3864000 3976000 3080000 3808000 3640000 3304000 3080000 3248000 3136000 3584000 3640000 3640000 3920000 3696000 3416000 3752000 3584000 3528000 3528000 3752000 3696000 3136000 3472000 3752000 4312000 3472000 3360000 3696000 3416000 2912000 3584000 2968000 3752000 4088000 3248000 2576000 3976000 3080000 3416000 3528000 3416000 3304000 3920000 4088000 3528000 3752000 4032000 3864000 3528000 3472000 3976000 3528000 2856000 3080000 3752000"
NoFragmentation-17-20221217-17:35:41-680,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6","3472000 3080000 2856000 3472000 3192000 4144000 3976000 3920000 2856000 3808000 3248000 3472000 3920000 3640000 4144000 2912000 3584000 3304000 4032000 3976000 3136000 3304000 2408000 4088000 3584000 3080000 3192000 3864000 3808000 3640000 3920000 3864000 3192000 3696000 4144000 3416000 3528000 3640000 3696000 3976000 3752000 3416000 3752000 3640000 3304000 2744000 3248000 3640000 4032000 3584000 2128000 3080000 3976000 3696000 3248000 3920000 3472000 3360000 3248000 3192000"
NoFragmentation-18-20221217-17:35:41-9616,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6","0 0 0 0 0 0 0 0 0 0 3584000 3640000 3472000 3472000 4088000 3136000 3920000 3752000 3584000 3192000 4144000 4200000 3024000 4032000 3808000 4312000 3696000 2744000 3472000 3136000 3808000 3808000 3808000 3024000 4088000 4032000 4032000 3248000 3808000 4032000 3360000 3640000 3752000 2968000 3584000 3808000 3304000 3472000 2688000 3472000 3360000 3472000 2856000 2632000 3528000 3808000 3472000 3864000 3528000 3752000"
NoFragmentation-19-20221217-17:35:41-20800,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6","3584000 3584000 3472000 3472000 4312000 3808000 3528000 3528000 4032000 3248000 2520000 3920000 4088000 3304000 3808000 3360000 3584000 3416000 3808000 3920000 3024000 3976000 3808000 3416000 4032000 3976000 4144000 3472000 3416000 3696000 4088000 3472000 4032000 3472000 3248000 3248000 4144000 4256000 3416000 3528000 3584000 3752000 2240000 3248000 3304000 3696000 3920000 3696000 4032000 3080000 4032000 4088000 3864000 2632000 3640000 3528000 4200000 3808000 3360000 3192000"
NoFragmentation-2-20221217-17:35:34-13028,vector,BlockAckShowcase.host2.app[0],throughput:vector,,,"0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6","3976000 4368000 3472000 3304000 3640000 3696000 3304000 3864000 3416000 3808000 4032000 3248000 3920000 3304000 3024000 3472000 3472000 3080000 4256000 4144000 2968000 3416000 3024000 3752000 3696000 3192000 3528000 3808000 4088000 3248000 3752000 4312000 3584000 3752000 3920000 3192000 3640000 2856000 3752000 2968000 3808000 3808000 3696000 3360000 3472000 4032000 3528000 3808000 2800000 3584000 4088000 3584000 4256000 3304000 3696000 3472000 3752000 3472000 4088000 3696000"
